"","lineage","i","k","j","min.sts","max.sts","length","lengthdays","c(NA, tmrca_all$size)","size","size_cat"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A",1,1,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
"3","A",1,1,2,2020.20765027322,2020.22677595628,0.0191256830601105,7.00000000000045,2,2,"2"
"4","A",1,1,3,2020.20765027322,2020.21038251366,0.00273224043712617,0.999999999988177,2,2,"2"
"5","A",1,1,4,2020.19945355191,2020.24316939891,0.0437158469947008,16.0000000000605,2,2,"2"
"6","A",1,2,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
"7","A",1,2,2,2020.20765027322,2020.22677595628,0.0191256830601105,7.00000000000045,2,2,"2"
"8","A",1,2,3,2020.20765027322,2020.21038251366,0.00273224043712617,0.999999999988177,2,2,"2"
"9","A",1,2,4,2020.19945355191,2020.24316939891,0.0437158469947008,16.0000000000605,2,2,"2"
"10","A",1,3,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
"11","A",1,3,2,2020.20765027322,2020.22677595628,0.0191256830601105,7.00000000000045,2,2,"2"
"12","A",1,3,3,2020.20765027322,2020.21038251366,0.00273224043712617,0.999999999988177,2,2,"2"
"13","A",1,3,4,2020.19945355191,2020.24316939891,0.0437158469947008,16.0000000000605,2,2,"2"
"14","A",1,4,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
"15","A",1,4,2,2020.20765027322,2020.22677595628,0.0191256830601105,7.00000000000045,2,2,"2"
"16","A",1,4,3,2020.20765027322,2020.21038251366,0.00273224043712617,0.999999999988177,2,2,"2"
"17","A",1,4,4,2020.19945355191,2020.24316939891,0.0437158469947008,16.0000000000605,2,2,"2"
"18","A",1,5,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
"19","A",1,5,2,2020.20765027322,2020.22677595628,0.0191256830601105,7.00000000000045,2,2,"2"
"20","A",1,5,3,2020.20765027322,2020.21038251366,0.00273224043712617,0.999999999988177,2,2,"2"
"21","A",1,5,4,2020.19945355191,2020.24316939891,0.0437158469947008,16.0000000000605,2,2,"2"
"22","A",1,6,1,2020.1393442623,2020.46448087432,0.325136612021879,119.000000000008,1325,1325,"20+"
